STATIONCODE,LOCATION,STATE,MONTH,Temp,D.O._(mg/l),PH,CONDUCTIVITY_(µmhos/cm),TURBIDITY_(FNU),COLOR_(mgPt/L),ALKALINITY_(mmol/L),B.O.D._(mg/l),NITRATE,FECAL_COLIFORM_(MPN/100ml),Int_(cfu/100ml),CIPerf_(cfu/100_ml),TERMOTOL_COLIFORM_(cfu/100_ml),TOTAL_COLIFORM_(MPN/100ml)Mean,year
2654,SKJAERSJOELVA,OSLO,MAR,27.8,6.7,7.8,80,0.96,8,6,4.9,0.3,12,0.71,<1,<1,29,2015
1092,SKJAERSJOELVA,OSLO,MAR,30.6,5.1,7.3,3937,0.9,8,7.6,10.3,1.8,31,0.79,<1,<1,83,2015
2670,SKJAERSJOELVA,OSLO,APR,25,5.6,7.9,468,0.84,8,5.5,3.6,1.9,66,0.67,<1,<1,164,2015
1152,SKJAERSJOELVA,OSLO,APR,25,6.4,7.6,541,1.04,8,3.6,5.7,0.6,23,0.6,<1,<1,45,2015
2198,,OSLO,APR,25,5.5,7.4,6166,0.99,8,5.7,7.7,1.1,44,0.63,<1,<1,67,2015
2671,SKJAERSJOELVA,OSLO,MAY,25.3,5.3,7.7,24062,1.15,8,4.9,9.9,1.2,156,0.68,<1,<1,304,2015
2672,SKJAERSJOELVA,OSLO,MAY,25.1,6.7,7.6,83,0.98,5,5.3,4.8,0.2,28,0.72,<1,<1,76,2015
2168,SKJAERSJOELVA,,MAY,26.1,3.6,7.4,4424,0.89,5,5.4,31.3,2.2,276,0.59,<1,<1,474,2015
2676,SKJAERSJOELVA,OSLO,JUN,21.4,7.2,7.7,226,0.9,5,5.4,3.1,0.8,0,0.79,<1,<1,130,2015
1151,,OSLO,JUL,27.4,5.9,7.4,268,0.94,5,6.7,6.4,0.4,37,0.73,<1,<1,68,2015
1462,,OSLO,SEP,27.1,5.4,7.5,2413,1,5,6.7,7.4,1.5,59,0.73,<1,<1,116,2015
2685,,OSLO,SEP,27.2,5.8,7.3,384,0.85,5,7.5,5.4,0.6,37,0.67,<1,<1,78,2015
2686,SKJAERSJOELVA,OSLO,OCT,27.3,5.9,7.4,269,1.09,5,7.5,5.1,1.2,34,0.67,<1,<1,60,2015
2687,SKJAERSJOELVA,OSLO,OCT,27,6,7.3,269,0.93,5,7.5,8.5,0.4,32,0.68,<1,<1,58,2015
2688,SKJAERSJOELVA,OSLO,OCT,27.2,6.1,7.3,196,0.92,5,8.3,6.1,0.5,30,,<1,<1,63,2015
2689,SKJAERSJOELVA,OSLO,NOV,27,5.9,7.4,269,0.87,5,8.3,6.4,0.4,19,0.7,<1,<1,47,2015
2696,SKJAERSJOELVA,OSLO,NOV,22.6,6.3,7.8,223,0.92,5,8.3,4.6,0.9,15,0.6,<1,<1,32,2015
2199,SKJAERSJOELVA,OSLO,NOV,28.4,6.7,7.3,9293,0.87,5,5.7,3.5,1.8,0,0.57,<1,<1,0,2015
2701,SKJAERSJOELVA,OSLO,NOV,28,6.8,7.2,170,0.86,2,5.7,3.1,1.4,0,0.64,<1,<1,0,2015
2702,SKJAERSJOELVA,,DEC,27.6,6.8,7.3,4175,0.96,2,5.7,3.3,1.6,0,0.58,<1,<1,0,2015
2703,SKJAERSJOELVA,,DEC,27.9,6.9,7.3,4282,1.09,2,7.7,3.3,1.6,0,0.22,<1,<1,0,2015
2704,SKJAERSJOELVA,,DEC,28.1,6.9,7.3,5551,0.89,2,7.4,3.4,1.7,0,0.75,<1,<1,0,2015
2706,SKJAERSJOELVA,,DEC,27.1,6.8,7.9,5390,0.84,2,7.6,4.9,0.8,15,0.71,<1,<1,28,2015
2707,SKJAERSJOELVA,,DEC,27.6,6.6,8.1,161,0.95,2,7.8,4.6,0.3,16,0.63,<1,<1,32,2015
2708,SKJAERSJOELVA,,DEC,27.3,6.7,8,138,0.97,11,7.7,5,0.3,14,0.72,<1,<1,33,2015
2709,SKJAERSJOELVA,,DEC,27.8,6.7,7.8,81,0.9,13,8.1,4.9,0.3,14,0.75,<1,<1,35,2015
1093,SKJAERSJOELVA,,DEC,28,5.9,7.7,194,0.84,6,8,5.5,0.6,22,0.62,<1,<1,51,2015
1094,DAUSJOELVA,,JAN,28.1,6.3,7.6,186,0.88,6,8,4.6,0.6,13,0.72,<1,<1,31,2015
2162,DAUSJOELVA,,JAN,28.6,6.6,7.6,207,0.93,6,7.9,4.7,0.7,12,0.61,<1,<1,31,2015
2712,DAUSJOELVA,OSLO,JAN,26.9,6.8,7.7,85,0.88,6,7.6,5,0.4,15,0.64,<1,<1,34,2015
2164,DAUSJOELVA,OSLO,JAN,23,7.1,7.4,176,0.99,6,2.2,2.7,0.9,0,0.62,<1,<1,30,2015
2713,DAUSJOELVA,OSLO,FEB,23,7,7.4,178,0.92,,5.2,2.7,0.9,0,0.67,<1,<1,40,2015
2714,DAUSJOELVA,OSLO,FEB,23,7.2,7.2,180,1.07,8,5.6,2.7,1,0,0.79,<1,<1,70,2015
1342,DAUSJOELVA,OSLO,FEB,25.1,6.7,7.5,85,1.07,8,5.5,1.4,1,183,0.64,<1,<1,420,2015
1443,DAUSJOELVA,OSLO,FEB,24.6,5.8,7.4,77,0.88,9,,1.4,0.8,285,0.71,<1,<1,691,2015
3465,DAUSJOELVA,OSLO,MAR,25.7,6.6,7.5,75,0.93,7,,1.4,0.7,183,0.68,<1,<1,448,2015
3466,DAUSJOELVA,OSLO,MAR,24.8,6.7,7.5,82,0.78,,,1.4,1,161,0.7,<1,<1,443,2015
2297,DAUSJOELVA,OSLO,MAR,27.3,6.7,6.9,56,0.94,7,,0.9,0.2,82,0.69,<1,<1,172,2015
2319,DAUSJOELVA,OSLO,APR,27.5,6.5,6.7,2240,0.84,3,,1.2,0.2,136,0.69,<1,<1,304,2015
2286,DAUSJOELVA,OSLO,APR,25.2,6.3,6.9,73,0.86,4,,1.6,0,787,0.7,<1,<1,2009,2015
2331,,OSLO,APR,29.9,7,7.4,130,0.95,12,6.7,0.7,0.1,301,0.65,<1,<1,590,2015
2332,,OSLO,APR,29.8,6.6,7.7,191,1.01,13,6.7,1.6,0.2,362,0.77,<1,<1,661,2015
1154,DAUSJOELVA,OSLO,APR,27.8,6.9,6.9,134,0.93,15,6.6,1.1,0.4,249,0.66,<1,<1,531,2015
20,DAUSJOELVA,OSLO,MAY,26.7,7,7.5,80,0.98,16,6.8,0.8,0.4,2573,,<1,<1,3583,2015
21,DAUSJOELVA,OSLO,MAY,25.8,6.7,7.4,14526,0.77,2,6.7,0.8,0.6,1411,0.63,<1,<1,1969,2015
3464,DAUSJOELVA,OSLO,JUN,26.4,7.2,7.4,82,0.9,2,5.9,0.7,0.5,840,0.63,<1,<1,1311,2015
1572,DAUSJOELVA,OSLO,JUN,29.8,7.5,7.2,67,0.85,11,5.8,1.1,0.1,76,0.56,<1,<1,590,2015
1573,DAUSJOELVA,OSLO,JUN,28.6,3,6.6,965,1.08,13,5.7,1.7,1.2,247,0.16,<1,<1,530,2015
2295,DAUSJOELVA,OSLO,JUL,26.9,5.9,7.4,17990,1.1,6,6.5,0.7,0.5,1888,0.18,<1,<1,2803,2015
1564,DAUSJOELVA,OSLO,JUL,26,6.7,7.5,90,1.12,6,6.6,1.6,0.9,199,0.73,<1,<1,473,2015
2287,DAUSJOELVA,OSLO,AUG,23.6,6.1,7.4,4429,1.12,6,7.7,2,1.6,243,0.75,<1,<1,550,2015
1566,DAUSJOELVA,OSLO,AUG,30.3,6.7,6.9,87,1.09,,7.7,1.7,0.2,155,0.61,<1,<1,350,2015
2293,DAUSJOELVA,OSLO,SEP,30.7,6.9,6.8,85,1.11,,7.6,1.6,0.2,82,0.7,<1,<1,206,2015
2337,DAUSJOELVA,OSLO,SEP,28.7,2.1,6.8,101,1.11,13,7.2,1.6,0.8,431,0.89,<1,<1,694,2015
2338,DAUSJOELVA,OSLO,SEP,28.2,2.5,6.9,83,1.03,23,7,1.9,0.3,353,0.71,<1,<1,656,2015
42,,OSLO,SEP,24.8,7.2,7.6,75,1.14,17,8,1.4,1,188,0.63,<1,<1,426,2015
2294,,OSLO,OCT,26.3,3.7,7.7,32006,0.92,14,8.3,1.2,0.9,40000,0.76,<1,<1,60392,2015
3460,,OSLO,OCT,29.2,6.1,7.6,281,1.05,15,8.6,1.2,0.7,384,0.68,<1,<1,718,2015
3458,DAUSJOELVA,OSLO,OCT,26.6,6.7,7.6,106,0.98,8,8.6,0.5,2.5,44,0.7,<1,<1,71,2015
1571,DAUSJOELVA,OSLO,OCT,30.4,7.6,7.1,58,1.01,5,8.6,1.2,0.1,163,0.75,<1,<1,961,2015
1155,DAUSJOELVA,OSLO,NOV,25.5,1.9,7.7,2941,0.96,2,9.1,26.9,2.8,10875,0.83,<1,<1,37375,2015
3471,DAUSJOELVA,OSLO,NOV,25.1,7.4,7,35,1.01,3,9.1,0.1,0,165,0.63,<1,<1,409,2015
2289,DAUSJOELVA,OSLO,DEC,28.9,6.4,7.2,63,1.04,4,9,1.3,0.4,121,0.79,<1,<1,535,2015
2301,DAUSJOELVA,OSLO,DEC,28.8,5.4,6.7,65,0.83,6,7.2,1.1,0.3,60,0.73,<1,<1,144,2015
2291,DAUSJOELVA,OSLO,DEC,29.3,5.6,7.3,90,1.08,11,7.3,1.6,0.4,268,0.72,<1,<1,705,2015
2326,SVARTEDIKET,BERGEN,JAN,29.5,7.1,8,728,0.98,10,6.8,1.2,0.4,374,0.72,<1,<1,697,2015
1569,SVARTEDIKET,BERGEN,JAN,28.4,5.9,6.8,13953,1.01,5,5.6,1.5,0.4,70,0.77,<1,<1,166,2015
2298,SVARTEDIKET,BERGEN,FEB,26.9,7.4,6.9,57,1.03,5,6.9,1.1,0.3,70,,<1,<1,159,2015
1567,SVARTEDIKET,BERGEN,MAR,25.8,7.2,7.2,41,1,5,3.7,0.7,0.2,441,0.81,<1,<1,658,2015
1568,SVARTEDIKET,BERGEN,MAR,26.6,6.5,7.4,71,0.92,6,6.1,0.6,0.3,4192,0.84,<1,<1,7018,2015
2285,SVARTEDIKET,BERGEN,APR,25.3,6.8,7.1,81,1.13,6,6.7,0.8,0,389,0.85,<1,<1,1268,2015
1340,SVARTEDIKET,BERGEN,MAY,28.2,6.8,6.9,68,1.03,4,7.6,1.7,0.1,449,0.17,<1,<1,660,2015
1384,SVARTEDIKET,BERGEN,MAY,28.5,6.6,7,70,1.05,8,7.6,1.4,0.1,550,0.85,<1,<1,822,2015
3459,SVARTEDIKET,BERGEN,MAY,27.6,6.4,7.7,100,1.01,12,7.6,0.6,0.9,56,0.89,<1,<1,88,2015
2307,SVARTEDIKET,BERGEN,JUN,29,7.3,6.9,96,1.04,12,7.1,1.9,0.2,89,0.78,<1,<1,825,2015
1339,SVARTEDIKET,BERGEN,JUN,27.5,6.8,6.6,49,0.97,12,7.7,0.5,0.4,1719,0.79,<1,<1,2950,2015
2304,SVARTEDIKET,BERGEN,JUN,30,5.6,7.2,24360,0.88,12,,2.1,0.3,92,0.82,<1,<1,447,2015
43,SVARTEDIKET,BERGEN,JUN,27.8,6.9,6.8,59,1.03,12,,0.6,0.5,1916,0.26,<1,<1,3375,2015
2302,SVARTEDIKET,BERGEN,JUL,30.2,7.1,6.8,14410,0.8,12,,1.8,0.1,65,0.36,<1,<1,468,2015
1570,SVARTEDIKET,BERGEN,JUL,30.8,6.2,7.2,22757,0.95,16,6.9,1.5,0.1,98,0.93,<1,<1,542,2015
1563,SVARTEDIKET,BERGEN,JUL,25.3,6.7,7.1,66,0.82,16,6.5,0.6,0,222,0.84,<1,<1,626,2015
2284,SVARTEDIKET,BERGEN,JUL,25.3,7.2,7,59,1.07,16,6.9,0.6,0,165,0.76,<1,<1,433,2015
2288,SVARTEDIKET,BERGEN,AUG,25.8,6,7.6,120,1.12,,6.9,1.3,1.1,212,0.73,<1,<1,523,2015
1156,SVARTEDIKET,BERGEN,AUG,27.2,5.2,6.8,55,1.03,25,6.9,0.6,0.7,171,0.71,<1,<1,313,2015
1341,SVARTEDIKET,BERGEN,AUG,28.1,4.8,6.8,86,1.01,21,6.9,0.7,0.8,208,0.81,<1,<1,332,2015
1565,SVARTEDIKET,BERGEN,SEP,28.3,3.9,6.9,62,0.99,2,6.9,0.5,0.7,155,0.66,<1,<1,284,2015
17,SVARTEDIKET,BERGEN,SEP,28.1,5,6.9,3185,0.99,12,6.9,1.8,0.4,290,0.77,<1,<1,667,2015
18,SVARTEDIKET,BERGEN,SEP,27.7,7,7,36,1.09,5,7.1,1.1,0.2,276,0.85,<1,<1,541,2015
1338,SVARTEDIKET,,SEP,28,6.3,6.9,64,1.11,5,7.1,1.2,0.3,381,1.21,<1,<1,815,2015
2333,SVARTEDIKET,,SEP,28.2,6.2,6.9,86,1.14,5,7.6,1.3,0.2,372,0.74,<1,<1,1007,2015
2334,SVARTEDIKET,,OCT,28,5.7,6.8,2640,1.13,9,7.6,1.9,0.5,385,0.63,<1,<1,759,2015
2335,SVARTEDIKET,,OCT,28.1,5.7,6.9,53,0.97,5,7.6,3.1,0.4,574,0.65,<1,<1,1205,2015
2336,SVARTEDIKET,,OCT,28.1,6.6,7.1,2008,0.9,5,7.8,1.3,0.2,356,0.12,<1,<1,785,2015
3468,SVARTEDIKET,BERGEN,OCT,28.1,6.6,7,46,1,8,7,1.3,0.3,228,0.24,<1,<1,472,2015
2300,SVARTEDIKET,BERGEN,NOV,27.3,6.5,6.5,43,1,12,5.7,0.9,0.4,87,0.93,<1,<1,188,2015
2303,SVARTEDIKET,BERGEN,NOV,28.3,6.7,6.3,54,0.98,20,5.7,0.9,0.1,136,0.72,<1,<1,610,2015
2290,SVARTEDIKET,BERGEN,NOV,29.1,4.3,7.2,113,1.08,20,5.7,1.8,0.4,188,0.85,<1,<1,796,2015
2299,SVARTEDIKET,BERGEN,DEC,28.7,4.6,6.7,12561,1.14,20,5.6,1.5,0.6,72,0.17,<1,<1,171,2015
2305,SVARTEDIKET,BERGEN,DEC,28.5,7.7,6.9,61,1.07,,5.6,1.6,0,88,0.88,<1,<1,554,2015
2296,SVARTEDIKET,BERGEN,DEC,26.6,5.8,6.5,61,1.11,,5.2,1,0.4,70,0.79,<1,<1,151,2015
2292,SVARTEDIKET,BERGEN,DEC,31,4.5,6.9,1614,1.12,,4.8,2.1,0.6,131,0.94,<1,<1,230,2015
2306,OYEREN,STROMMEN,JAN,30.5,6.9,7.2,20950,0.91,,3.9,1.3,0.2,113,0.79,<1,<1,643,2015
3473,OYEREN,,JAN,28.8,6.6,7,14487,1.02,16,5,0.9,0.3,55,0.78,<1,<1,103,2015
1442,OYEREN,,JAN,25.3,6.9,7.5,54,1.07,2,5,0.6,0,319,1.01,<1,<1,1633,2015
1448,OYEREN,STROMMEN,FEB,25.9,5.5,7.6,569,1,2,,1.3,0.9,18,0.69,<1,<1,141,2015
2352,OYEREN,STROMMEN,FEB,26.5,5.4,7.8,310,1.02,11,,0.8,2.4,7,0.79,<1,<1,107,2015
3080,,STROMMEN,FEB,18.9,7.1,7.8,516,0.97,13,,0.7,0.5,2,0.9,<1,<1,1238,2015
3081,OYEREN,STROMMEN,FEB,20.5,6.9,8,505,1.01,6,,0.9,0.7,2,0.87,<1,<1,1563,2015
1444,OYEREN,STROMMEN,FEB,27.1,7.3,7.3,109,1.02,6,,2.4,3.4,18,0.89,<1,<1,65,2015
2780,OYEREN,STROMMEN,FEB,26.3,7.5,7.5,83,0.96,6,,2.1,2,22,0.69,<1,<1,74,2015
1894,OYEREN,STROMMEN,MAR,29.1,6.4,7.2,102,0.89,,7.6,1,0,137,0.82,<1,<1,1223,2015
1892,OYEREN,STROMMEN,MAR,28.4,6.5,7.1,92,1.12,,7.6,1,0,155,0.62,<1,<1,1342,2015
2423,OYEREN,STROMMEN,MAR,24.7,7.7,7.9,232,1.07,13,7.6,1.3,0.8,30790,0.77,<1,<1,40500,2015
2424,OYEREN,STROMMEN,MAR,24.4,7.5,7.8,519,1,23,2.9,2.1,0.7,38700,0.74,<1,<1,53556,2015
2425,OYEREN,STROMMEN,APR,22.7,7.3,7.2,103,1.17,17,6.6,0.7,1.7,4871,0.79,<1,<1,13810,2015
2422,OYEREN,STROMMEN,APR,24.8,7.4,7.9,196,0.92,14,6.4,0.7,0.6,5323,0.79,<1,<1,15213,2015
1642,OYEREN,STROMMEN,APR,24,7.4,7.8,244,0.98,15,5.4,1.9,1,20880,0.77,<1,<1,12473,2015
1643,OYEREN,STROMMEN,APR,22.8,7.5,8,243,1.01,8,5.51,1.7,0.9,8780,0.11,<1,<1,30319,2015
1455,OYEREN,STROMMEN,APR,26.8,7.2,8,296,1.27,5,5.42,1.5,0.7,1468,0.88,<1,<1,4314,2015
1456,OYEREN,STROMMEN,MAY,27.4,6.6,7.8,25034,1.22,12,5.33,1.5,0.9,1671,0.74,<1,<1,4224,2015
2426,OYEREN,STROMMEN,MAY,25.3,7.5,7.9,194,1.08,13,5.24,1,1,2906,0.39,<1,<1,8559,2015
2427,OYEREN,STROMMEN,MAY,27.1,7.4,7.9,170,1.1,6,5.15,0.8,0.9,4948,0.3,<1,<1,16709,2015
1685,OYEREN,STROMMEN,MAY,29,0,7.3,386,1.16,6,5.06,0,0.2,0,0.7,<1,<1,0,2015
2444,OYEREN,STROMMEN,MAY,25,5.9,7.9,21600,1.28,6,4.97,0,0.1,0,0.68,<1,<1,0,2015
2442,OYEREN,STROMMEN,MAY,25,6.5,7.3,21600,0.92,6,4.88,0,0.1,0,0.77,<1,<1,0,2015
2443,OYEREN,STROMMEN,MAY,25,6.5,7.7,26600,1.07,6,4.79,0,0.1,0,0.79,<1,<1,0,2015
2445,OYEREN,STROMMEN,JUN,32,6,7.1,13000,0.99,6,4.7,0,0.4,0,0.74,<1,<1,0,2015
1450,OYEREN,STROMMEN,JUN,29.3,6.5,7.4,1063,1.01,22,4.61,2,0.6,177,0.69,<1,<1,374,2015
1159,OYEREN,,JUN,22.8,6.8,6.6,63,0.95,2,4.52,2.9,0.1,11,0.67,<1,<1,36,2015
1160,OYEREN,STROMMEN,JUN,24.5,6.6,6.4,101,0.98,2,4.43,2.5,0.2,13,0.71,<1,<1,41,2015
1161,OYEREN,STROMMEN,JUN,25.5,6.6,6.5,136,1.04,2,5.9,2.5,0.2,13,0.65,<1,<1,45,2015
1162,OYEREN,STROMMEN,JUN,29,6.7,6.9,226,0.98,22,5.9,2.2,0.2,12,0.71,<1,<1,38,2015
1328,,STROMMEN,JUN,23.8,6.7,6.3,72,0.99,22,5.9,2.7,0.2,9,1.05,<1,<1,32,2015
1329,OYEREN,STROMMEN,JUL,22.8,6.7,6.4,61,1.16,2,7.1,4.6,0.1,10,0.67,<1,<1,34,2015
1330,OYEREN,STROMMEN,JUL,29,6.6,7.2,1300,0.95,24,7.1,2.7,0.2,21,0.71,<1,<1,60,2015
3025,OYEREN,STROMMEN,JUL,29,6.7,7,461,0.9,12,7.46,2.5,0.1,17,0.68,<1,<1,51,2015
3026,OYEREN,STROMMEN,JUL,23,6.6,6.2,69,1.03,8,7.82,2.5,0.1,11,0.86,<1,<1,38,2015
3027,OYEREN,STROMMEN,JUL,29,6.8,6.9,241,0.93,8,8.18,2.5,0.1,14,0.12,<1,<1,48,2015
3028,,STROMMEN,JUL,25.7,6.5,6.6,159,1.1,8,8.54,2.4,0.2,11,0.75,<1,<1,41,2015
3029,OYEREN,STROMMEN,JUL,25.7,6.6,6.7,170,0.99,8,8.9,2.5,0.2,10,0.73,<1,<1,34,2015
3023,OYEREN,STROMMEN,JUL,24.3,0.9,7.6,2039,1.06,8,9.26,104.5,0.9,272521616,0.73,<1,<1,511090873,2015
1885,OYEREN,STROMMEN,AUG,0,0,0,0,1.08,8,,0,0,0,0.75,<1,<1,0,2015
1023,OYEREN,STROMMEN,AUG,22.7,5.8,7.2,640,1.05,15,,6,4.3,1450,0.1,<1,<1,4073,2015
1024,OYEREN,,AUG,19,4.8,7.6,1090,1.01,15,9.62,22,3.6,30500,0.76,<1,<1,52500,2015
1295,OYEREN,STROMMEN,AUG,23,5.5,7.3,705,1.26,15,9.98,10,5,2020,0.83,<1,<1,5433,2015
1473,OYEREN,STROMMEN,AUG,24,5.1,7.4,1375,1.37,15,7.4,23.7,5.9,27333,0.74,<1,<1,50333,2015
1698,OYEREN,STROMMEN,AUG,24.7,5.5,7.4,745,1.12,,7.6,10,6.1,12167,1.04,<1,<1,29333,2015
1699,OYEREN,STROMMEN,AUG,25,5,7.6,975,1.13,,7.8,16.3,6.1,11167,0.72,<1,<1,21667,2015
1700,OYEREN,,AUG,22,4.9,7.7,1385,0.97,,7.7,27.5,7.7,42500,0.87,<1,<1,72000,2015
1701,OYEREN,,AUG,24.3,5,7.3,1067,0.98,,8.1,19.3,6.2,21467,0.81,<1,<1,39533,2015
1702,OYEREN,STROMMEN,SEP,23.3,5.3,7.2,970,0.88,,8.17,13.3,5.9,3167,0.67,<1,<1,7133,2015
1703,OYEREN,STROMMEN,SEP,19.5,4.9,7.7,1418,0.98,,8.32,21,4.2,28000,0.79,<1,<1,49500,2015
1704,,STROMMEN,SEP,21.5,4.1,7.5,1015,0.93,,8.47,23,6.1,35000,0.75,<1,<1,57500,2015
1705,OYEREN,STROMMEN,SEP,20,4.8,7.4,854,0.99,,8.62,17,4.7,20500,0.63,<1,<1,38000,2015
1025,OYEREN,STROMMEN,SEP,0,0,8.2,0,0.97,14,8.77,19.8,0,0,0.69,<1,<1,0,2015
1026,OYEREN,STROMMEN,SEP,0,0,7.9,0,1.02,14,8.92,18.2,0,0,0.62,<1,<1,0,2015
1718,OYEREN,STROMMEN,OCT,32.6,4,6.8,370,1.01,14,9.07,3,0.8,4,0.58,<1,<1,9,2015
1871,OYEREN,STROMMEN,OCT,23.6,7.8,7.8,376,0.93,9,9.22,1.3,0.4,9,0.72,<1,<1,17,2015
2624,OYEREN,STROMMEN,OCT,23.9,7.7,7.7,354,0.95,9,9.37,1.3,0.3,12,0.69,<1,<1,22,2015
2625,OYEREN,STROMMEN,OCT,24.5,7.6,7.9,344,0.9,9,7.9,1.6,0.4,12,0.8,<1,<1,22,2015
1884,OYEREN,STROMMEN,OCT,0,0,7.2,0,1.04,9,7.6,88,0,0,0.74,<1,<1,0,2015
1870,OYEREN,STROMMEN,NOV,18.1,4.4,7.1,694,1.08,9,2.2,41,1.2,92,0.78,<1,<1,224,2015
2947,OYEREN,STROMMEN,NOV,25.1,5.9,8,401,1.14,12,5.2,0.9,0.7,4,0.71,<1,<1,15,2015
1717,OYEREN,STROMMEN,NOV,22.3,6,7.2,106,1.17,12,5.6,0.8,0.4,4,0.12,<1,<1,15,2015
2948,OYEREN,STROMMEN,NOV,23.7,5.6,7.9,326,1.13,12,5.5,1.1,0.8,4,0.74,<1,<1,4,2015
2949,OYEREN,STROMMEN,DEC,23.9,6.2,8.1,592,1.14,12,7.4,1,0.7,4,0.61,<1,<1,6,2015
